Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;build;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;models;price;gprstext;edge;bodyother;sar-us;optionalother;displayprotection;batstandby1;battalktime1;cam2features;displayother;sar-eu;batlife;featuresother;tbench
https://www.gsmarena.com/gionee_g13_pro-11339.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-g13-pro.jpg;Gionee G13 Pro;Released 2022, January 30;195g, 9.2mm thickness;HarmonyOS;32GB/128GB storage, Unspecified;63;1.2%;546,870 hits;"6.26""";720x1600 pixels;4 GB RAM;Unisoc Tiger T310;3500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;LTE;HSPA, LTE;2022, January 28;Available. Released 2022, January 30;158 x 76 x 9.2 mm (6.22 x 2.99 x 0.36 in);195 g (6.88 oz);Glass front, plastic frame, glass back;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.26 inches, 94.6 cm(~78.8% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~280 ppi density);HarmonyOS;Unisoc Tiger T310 (12nm);Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55);PowerVR GE8300;Unspecified;32GB 4GB RAM;eMMC 5.1;13 MP, (wide), PDAF2 MP;LED flash;1080p@30fps;5 MP;;Yes;Yes;GPS;No;Unspecified;USB Type-C 2.0;Accelerometer, proximity;Li-Ion 3500 mAh, non-removable;Black, Blue, Silver, Purple;GNV5221;About 80 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/gionee_p15-11027.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-p15.jpg;Gionee P15;Released 2021, July 30;9mm thickness;Android 11;32GB storage, microSDXC;4;0.3%;169,437 hits;"6.52""";720x1600 pixels;2 GB RAM;Unisoc SC9863A;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 20, 28, 40;HSPA, LTE;2021, July 26;Available. Released 2021, July 30;164.7 x 76.3 x 9 mm (6.48 x 3.00 x 0.35 in);-;;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm(~81.7% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 11 (Go edition);Unisoc SC9863A (28nm);Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);IMG8322;microSDXC (dedicated slot);32GB 2GB RAM;eMMC 5.1;13 MP, (wide), PDAF0.08 MP0.08 MP;LED flash;Unspecified;8 MP;Unspecified;Yes;Yes;GPS;No;Unspecified;microUSB, OTG;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Po 5000 mAh, non-removable;Black, Blue, Light Blue;;About 100 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/gionee_smartwatch_7-10957.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-smartwatch-7.jpg;Gionee Smartwatch 7;Released 2021, June 13;35g, 9.6mm thickness;Proprietary OS;No card slot;2;N/A;33,402 hits;"1.3""";240x240 pixels; ;;130 mAh Li-Ion;N/A;N/A;N/A;No;2021, June 09;Available. Released 2021, June 13;50 x 45 x 9.6 mm (1.97 x 1.77 x 0.38 in);35 g (1.23 oz);;No;TFT LCD;1.3 inches;240 x 240 pixels (~261 ppi density);Proprietary OS;;;;No;;eMMC 4.5;No;;;;;No;4.0;No;No;No;No;Accelerometer, heart rate, SpO2;Li-Ion 130 mAh, non-removable;Teal Green, Mimi Pink, Matte Black;;About 50 EUR;No;No;IP67Compatible with standard 22mm straps;;;;;;;;;;;
https://www.gsmarena.com/gionee_m15-10931.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-m15.jpg;Gionee M15;Released 2021, May 28;9mm thickness;Android 11;128GB storage, microSDXC;13;0.3%;192,027 hits;"6.67""";1080x2400 pixels;6/8 GB RAM;Helio G90;5100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 20, 28, 40;HSPA, LTE;2021, May 24;Available. Released 2021, May 28;165.2 x 77 x 9 mm (6.50 x 3.03 x 0.35 in);-;;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.67 inches, 107.4 cm(~84.4% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~395 ppi density);Android 11;Mediatek MT6785 Helio G90 (12 nm);Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G76 MC4;microSDXC (dedicated slot);128GB 6GB RAM, 128GB 8GB RAM;;48 MP, (wide), PDAF5 MP, (ultrawide)2 MP, (macro)2 MP, (depth);LED flash, HDR, panorama;1080p@30fps;16 MP;1080p@30fps;Yes;Yes;GPS;No;Unspecified;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity;Li-Po 5100 mAh, non-removable;Gray;;About 180 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/gionee_m3-10835.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-m3.jpg;Gionee M3;Released 2021, April 14;201g, 9.3mm thickness;Android;128GB/256GB storage, microSDXC;13;0.1%;83,882 hits;"6.53""";720x1600 pixels;6/8 GB RAM;Helio P60;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE (unspecified);HSPA, LTE;2021, April 07;Available. Released 2021, April 14;163.2 x 75.9 x 9.3 mm (6.43 x 2.99 x 0.37 in);201 g (7.09 oz);;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.53 inches, 102.9 cm(~83.1% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android;Mediatek MT6771 Helio P60 (12 nm);Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mali-G72 MP3;microSDXC (uses shared SIM slot);128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;eMMC 5.1;16 MP, (wide), PDAF5 MP, (ultrawide)2 MP, (macro)2 MP, (depth);LED flash, HDR, panorama;1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 b/g/n, hotspot;Yes;GPS;No;Unspecified;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Black, Green, Sky, Gray;;About 120 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/gionee_p15_pro-10814.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-p15-pro.jpg;Gionee P15 Pro;Released 2021, March 29;208g, 9.5mm thickness;Android 11;64GB storage, microSDXC;9;0.1%;90,640 hits;"6.82""";720x1640 pixels;3 GB RAM;Helio G35;6000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 28, 40;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2021, March 26;Available. Released 2021, March 29;173.8 x 78.5 x 9.5 mm (6.84 x 3.09 x 0.37 in);208 g (7.34 oz);Glass front, plastic frame, plastic back;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.82 inches, 110.5 cm(~81.0% screen-to-body ratio);720 x 1640 pixels (~263 ppi density);Android 11;Mediatek MT6765G Helio G35 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC;64GB 3GB RAM;eMMC 5.1;13 MP, (wide), AF2 MP, (ultrawide)0.1 MP, (depth);LED flash;1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 b/g/n;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Po 6000 mAh, non-removable;Fjord, Petrol Blue;;About 120 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/gionee_max_pro-10757.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-max-pro.jpg;Gionee Max Pro;Released 2021, March 08;212g, 10mm thickness;Android 10;32GB storage, microSDXC;7;0.1%;69,753 hits;"6.52""";720x1560 pixels;3 GB RAM;Unisoc SC9863A;6000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 38, 40, 41;HSPA, LTE;2021, March 01;Available. Released 2021, March 08;165 x 75 x 10 mm (6.50 x 2.95 x 0.39 in);212 g (7.48 oz);;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 104.4 cm(~84.3% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~264 ppi density);Android 10;Unisoc SC9863A (28nm);Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);IMG8322;microSDXC (dedicated slot);32GB 3GB RAM;eMMC 5.1;13 MP, (wide), AF2 MP (depth);LED flash;1080p@30fps;8 MP;;Wi-Fi 802.11 a/b/g/n/ac;4.2, A2DP;GPS;No;FM radio;microUSB 2.0, OTG;Accelerometer, proximity;Li-Po 6000 mAh, non-removable;Black, Red, Blue;;About 80 EUR;;;;0.34 W/kg (head)     0.97 W/kg (body);;;;;;;;;;
https://www.gsmarena.com/gionee_k30_pro-10628.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-k30-pro.jpg;Gionee K30 Pro;Released 2020, December;165g, 8mm thickness;Android;128GB/256GB storage, microSDXC;9;0.1%;108,714 hits;"6.53""";720x1560 pixels;6/8 GB RAM;Mediatek;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE (unspecified);HSPA, LTE;2020, December 08;Available. Released 2020, December;165 x 76 x 8 mm (6.50 x 2.99 x 0.31 in);165 g (5.82 oz);Glass front, plastic frame, glass back;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.53 inches, 104.7 cm(~83.5% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~263 ppi density);Android;Mediatek;Octa-core 2.0 GHz;;microSDXC;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;eMMC 5.1;16 MP, f/1.8, (wide), PDAF5 MP, 120˚ (ultrawide)2 MP, (depth);LED flash, HDR, panorama;1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 b/g/n, hotspot;Yes;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 4000 mAh, non-removable;Black, Blue, White;GSE1020;About 100 EUR;;;;;24-bit/192kHz audio;;;;;;;;;
https://www.gsmarena.com/gionee_p12-10638.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-p12.jpg;Gionee P12;Released 2020, November 09;178g, 9.7mm thickness;Android 10;16GB storage, microSDXC;1;0.1%;60,573 hits;"6.1""";720x1600 pixels;2 GB RAM;Helio A20;3200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 1900;1, 3, 7, 8, 20, 28, 40;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2020, November 09;Available. Released 2020, November 09;156.1 x 73.7 x 9.7 mm (6.15 x 2.90 x 0.38 in);178 g (6.28 oz);Glass front, plastic frame, glass back;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.1 inches, 89.8 cm(~78.1% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~288 ppi density);Android 10;Mediatek MT6761 Helio A20 (12 nm);Quad-core 1.8 GHz Cortex-A53;PowerVR GE8320;microSDXC;16GB 2GB RAM;eMMC 5.1;13 MP, (wide), AF0.3 MP, (ultrawide)0.3 MP, (depth);LED flash, HDR, panorama;1080p@30fps;5 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS;No;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 3200 mAh, non-removable;Black, Purple;;About 80 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/gionee_m12-10600.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-m12-.jpg;Gionee M12;Released 2020, November 16;196g, 9.3mm thickness;Android 10;64GB/128GB storage, microSDXC;14;0.1%;204,305 hits;"6.55""";720x1600 pixels;4/6 GB RAM;Helio A25;5100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 1900;1, 2, 3, 5, 7, 8, 20, 28, 40;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2020, November 16;Available. Released 2020, November 16;163.9 x 76.8 x 9.3 mm (6.45 x 3.02 x 0.37 in);196 g (6.91 oz);Glass front, plastic frame, plastic back;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.55 inches, 103.6 cm(~82.3% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~268 ppi density);Android 10;Mediatek MT6762D Helio A25 (12 nm) - model 1Mediatek MT6762 Helio P22 (12 nm) - model 2;Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) - model 1Octa-core 2.0 GHz Cortex-A53 - model 2;PowerVR GE8320;microSDXC;64GB 4GB RAM, 128GB 6GB RAM;eMMC 5.1;48 MP, f/1.8, (wide), PDAF5 MP, f/2.2, 115˚, (ultrawide)2 MP (depth)2 MP (depth);LED flash, HDR, panorama;1080p@30fps;16 MP;1080p@30fps;Wi-Fi 802.11 a/b/g/n, dual-band;5.0, A2DP;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5100 mAh, non-removable;Magic Green, Dazzling Black;;About 150 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/gionee_s12_lite-10477.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-s12-lite.jpg;Gionee S12 Lite;Released 2020, October 05;174g, 8.4mm thickness;Android 10;32GB storage, microSDXC;7;0.1%;83,313 hits;"6.52""";720x1600 pixels;3 GB RAM;Helio A25;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 28, 40;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2020, September 29;Available. Released 2020, October 05;166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in);174 g (6.14 oz);Glass front, plastic frame, plastic back;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm(~80.9% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 10;Mediatek MT6762D Helio A25 (12 nm);Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);PowerVR GE8320;microSDXC;32GB 3GB RAM;eMMC 5.1;13 MP, (wide), AF5 MP, (ultrawide)2 MP (depth);LED flash, HDR;1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 b/g/n;4.2, A2DP;GPS;No;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 4000 mAh, non-removable;Blue, Green, Gray;H602;;;;;;;;;;;;;;;
https://www.gsmarena.com/gionee_s12-10534.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-s12.jpg;Gionee S12;Released 2020, July 15;181g, 8.8mm thickness;Android 10;64GB storage, microSDXC;4;0.1%;115,198 hits;"6.52""";720x1600 pixels;4 GB RAM;Helio A25;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 8, 20, 28, 40;HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps;2020, July;Available. Released 2020, July 15;164.6 x 76.6 x 8.8 mm (6.48 x 3.02 x 0.35 in);181 g (6.38 oz);Glass front, plastic frame, plastic back;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm(~81.4% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 10;Mediatek MT6762D Helio A25 (12 nm);Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);PowerVR GE8320;microSDXC;64GB 4GB RAM;eMMC 5.1;16 MP, (wide), AF8 MP, (ultrawide)2 MP (depth);LED flash, HDR, panorama;1080p@30fps;13 MP;1080p@30fps;Wi-Fi 802.11 b/g/n;4.2, A2DP;GPS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 4000 mAh, non-removable;Black, Blue;;About 140 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/gionee_m30-10392.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-m30.jpg;Gionee M30;Released 2020, August 31;305 g;Android;128GB storage, microSDXC;29;0.1%;167,357 hits;"6.0""";720x1440 pixels;8 GB RAM;Helio P60;10000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE (unspecified);HSPA, LTE;2020, August 25;Available. Released 2020, August 31;-;305 g (10.76 oz);Glass front, aluminum frame, aluminum back;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.0 inches, 92.9 cm;720 x 1440 pixels, 18:9 ratio (~268 ppi density);Android;Mediatek MT6771 Helio P60 (12 nm);Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mali-G72 MP3;microSDXC;128GB 8GB RAM;;16 MP, (wide), AF;LED flash;1080p@30fps;8 MP;1080p@30fps;Wi-Fi 802.11 b/g/n, hotspot;4.2, A2DP;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 10000 mAh, non-removable;Black;;About 170 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/gionee_max-10391.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-max.jpg;Gionee Max;Released 2020, August 31;185g, 10.8mm thickness;Android 10;32GB storage, microSDXC;9;0.1%;92,853 hits;"6.1""";720x1560 pixels;2 GB RAM;Unisoc SC9863A;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 38, 40, 41;HSPA, LTE;2020, August 25;Available. Released 2020, August 31;148 x 70.9 x 10.8 mm (5.83 x 2.79 x 0.43 in);185 g (6.53 oz);;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.1 inches, 91.3 cm(~87.0% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~282 ppi density);Android 10;Unisoc SC9863A (28nm);Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);IMG8322;microSDXC (dedicated slot);32GB 2GB RAM;eMMC 5.1;13 MP, (wide), AF0.3 MP (depth);LED flash;1080p@24fps;5 MP;;Wi-Fi 802.11 a/b/g/n/ac;4.2, A2DP;GPS;No;FM radio;microUSB 2.0, OTG;Accelerometer, proximity;Li-Po 5000 mAh, non-removable;Black, Red, Royal Blue;;About 70 EUR;;;;0.41 W/kg (head)     0.90 W/kg (body);;;;;;;;;;
https://www.gsmarena.com/gionee_k3_pro-10389.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-k3-pro.jpg;Gionee K3 Pro;Released 2020, September;205g, 9.7mm thickness;Android 9.0;128GB storage, microSDXC;16;0.1%;116,119 hits;"6.53""";720x1600 pixels;6/8 GB RAM;Helio P60;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 38, 39, 40, 41;HSPA, LTE;2020, August 24;Available. Released 2020, September;164.3 x 77.6 x 9.7 mm (6.47 x 3.06 x 0.38 in);205 g (7.23 oz);;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.53 inches, 102.9 cm(~80.7% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 9.0 (Pie);Mediatek MT6771 Helio P60 (12 nm);Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mali-G72 MP3;microSDXC;128GB 6GB RAM, 128GB 8GB RAM;eMMC 5.1;"16 MP, f/2.0, (wide), 1/3.1"", 1.0µm, AF2 other unknown cameras";LED flash, HDR, panorama;1080p@30fps;"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm";1080p@30fps;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 4000 mAh, non-removable;Jade Green, Pearl White;;About 80 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/gionee_k6-10270.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-k6.jpg;Gionee K6;Released 2020, May 27;192g, 10.2mm thickness;Android 7.1;128GB storage, microSDXC;3;N/A;91,544 hits;"6.2""";720x1560 pixels;6/8 GB RAM;Helio P60;4350 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 38, 39, 40, 41;HSPA, LTE;2020, May 21;Available. Released 2020, May 27;157.6 x 75.9 x 10.2 mm (6.20 x 2.99 x 0.40 in);192 g (6.77 oz);;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.2 inches, 94.4 cm(~78.9% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~277 ppi density);Android 7.1 (Nougat);Mediatek MT6771 Helio P60 (12 nm);Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mali-G72 MP3;microSDXC (dedicated slot);128GB 6GB RAM, 128GB 8GB RAM;eMMC 5.1;"16 MP, f/2.0, 26mm (wide), 1/3.1"", 1.0µm, AF2 other unknown cameras";LED flash, HDR, panorama;1080p@30fps;"13 MP, (wide), 1/3.1"", 1.12µm";1080p@30fps;Wi-Fi 802.11 b/g/n;4.2, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 4350 mAh, non-removable;Black, Blue;20190418Q;About 100 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/gionee_f205-9182.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-f205.jpg;Gionee F205;Released 2018, January;135.6g, 8mm thickness;Android 7.1, Amigo 5;16GB storage, microSDXC;6;0.1%;284,392 hits;"5.45""";720x1440 pixels;2 GB RAM;MT6739;2670 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 38, 39, 40, 41;HSPA, LTE;2018, January;Available. Released 2018, January;148.4 x 70.7 x 8 mm (5.84 x 2.78 x 0.31 in);135.6 g (4.80 oz);Glass front, aluminum back, aluminum frame;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.45 inches, 76.7 cm(~73.1% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~295 ppi density);Android 7.1 (Nougat), Amigo 5;Mediatek MT6739 (28 nm);Quad-core 1.3 GHz Cortex-A53;PowerVR GE8100;microSDXC;16GB 2GB RAM;eMMC 5.1;8 MP, AF;LED flash, HDR, panorama;720p@30fps;5 MP;;Wi-Fi 802.11 b/g/n;4.2, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 2670 mAh, non-removable;Gold, Red, Blue;F205;About 130 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/gionee_s11s-8948.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-s11s.jpg;Gionee S11S;Released 2017, December;177g, 7mm thickness;Android 7.1, Amigo 5;64GB storage, microSDXC;38;0.1%;373,620 hits;"6.01""";1080x2160 pixels;6 GB RAM;Helio P30;3600 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41;HSPA, LTE;2017, November. Released 2017, December;Discontinued;155.8 x 72.6 x 7 mm (6.13 x 2.86 x 0.28 in);177 g (6.24 oz);Glass front, glass back, aluminum frame;Dual SIM (Nano-SIM, dual stand-by);AMOLED;6.01 inches, 93.2 cm(~82.4% screen-to-body ratio);1080 x 2160 pixels, 18:9 ratio (~402 ppi density);Android 7.1 (Nougat), Amigo 5;Mediatek Helio P30 (16 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.65 GHz Cortex A53);Mali-G71 MP2;microSDXC;64GB 6GB RAM;;16 MP, AF8 MP;LED flash, HDR, panorama;1080p@30fps;"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm8 MP";;Wi-Fi 802.11 b/g/n;4.2, A2DP, LE;GPS;Yes;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 3600 mAh, non-removable;Silver, Gold;;About 500 EUR;;;;;;;;;;;;;;
https://www.gsmarena.com/gionee_s11-8949.php;https://fdn2.gsmarena.com/vv/bigpic/gionee-s11.jpg;Gionee S11;Released 2017, December;165g, 7.8mm thickness;Android 7.1, Amigo 5;64GB storage, microSDXC;11;0.2%;450,027 hits;"5.99""";1080x2160 pixels;4 GB RAM;Helio P23;3410 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 34, 38, 39, 40, 41;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2017, November. Released 2017, December;Discontinued;159.5 x 77.7 x 7.8 mm (6.28 x 3.06 x 0.31 in);165 g (5.82 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.99 inches, 92.6 cm(~74.7% screen-to-body ratio);1080 x 2160 pixels, 18:9 ratio (~403 ppi density);Android 7.1 (Nougat), Amigo 5;Mediatek MT6763T Helio P23 (16 nm);Octa-core 2.5 GHz Cortex-A53;Mali-G71 MP2;microSDXC (uses shared SIM slot);64GB 4GB RAM;eMMC 5.1;16 MP, AF5 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30fps;"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm8 MP";;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 3410 mAh, non-removable;Moonlight blue, space gold, cherry powder;;About 320 EUR;;;;;;;;;;;;;;
