Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;build;net5g;models;displayprotection;cam2features;batstandby1;battalktime1;sar-eu;batmusicplayback1;gprstext;edge;bodyother;displayother
https://www.gsmarena.com/lava_yuva_2_pro-12133.php;https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-2-pro.jpg;Lava Yuva 2 Pro;Released 2023, February 22;204g, 9mm thickness;Android 12;64GB storage, microSDXC;5;1.1%;16,620 hits;"6.52""";720x1600 pixels;4 GB RAM;Helio G37;5000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA, LTE;2023, February 22;Available. Released 2023, February 22;164.5 x 76 x 9 mm (6.48 x 2.99 x 0.35 in);204 g (7.20 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm(~82.1% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 12;Mediatek MT6765 Helio G37 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);64GB 4GB RAM;eMMC 5.1;13 MP, (wide), AFVGAVGA;LED flash;1080p@30fps;5 MP;Yes;Wi-Fi 802.11 b/g/n/ac;5.1, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Glass Lavender, Glass Green, Glass White;About 90 EUR;;;;;;;;;;;;;
https://www.gsmarena.com/lava_x3-12040.php;https://fdn2.gsmarena.com/vv/bigpic/lava-x3-2022.jpg;Lava X3;Released 2022, December 27;210g, 9.2mm thickness;Android 12;32GB storage, microSDXC;5;0.2%;28,274 hits;"6.52""";720x1600 pixels;3 GB RAM;Helio A22;4000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA, LTE;2022, December 22;Available. Released 2022, December 27;164.6 x 75.8 x 9.2 mm (6.48 x 2.98 x 0.36 in);210 g (7.41 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm(~82.3% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 12 (Go edition);Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (dedicated slot);32GB 3GB RAM;eMMC 5.1;8 MPQVGA;LED flash, HDR;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n/ac;5.1, A2DP, LE;GPS;No;FM radio;USB Type-C;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 4000 mAh, non-removable;Black, Green, Blue;About 80 EUR;Glass front, plastic back, plastic frame;;;;;;;;;;;;
https://www.gsmarena.com/lava_blaze_nxt-12001.php;https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-nxt.jpg;Lava Blaze Nxt;Released 2022, December 02;203.5g, 8.9mm thickness;Android 12;64GB storage, microSDXC;4;0.2%;21,637 hits;"6.52""";720x1600 pixels;4 GB RAM;Helio G37;5000 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA, LTE;2022, November 25;Available. Released 2022, December 02;164.8 x 76.3 x 8.9 mm (6.49 x 3.00 x 0.35 in);203.5 g (7.20 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm(~81.6% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 12;Mediatek MT6765 Helio G37 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);64GB 4GB RAM;eMMC 5.1;13 MP, (wide), AF2 MPVGA;LED flash;1080p@30fps;8 MP;Yes;Wi-Fi 802.11 b/g/n/ac;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 5000 mAh, non-removable;Glass Blue, Glass Red, Glass Green;About 110 EUR;;;;;;;;;;;;;
https://www.gsmarena.com/lava_yuva_pro-11928.php;https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-pro.jpg;Lava Yuva Pro;Released 2022, October 11;191g, 8.9mm thickness;Android 12;32GB storage, microSDXC;6;0.1%;26,544 hits;"6.52""";720x1600 pixels;3 GB RAM;;5000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA, LTE;2022, October 11;Available. Released 2022, October 11;164.4 x 75.8 x 8.9 mm (6.47 x 2.98 x 0.35 in);191 g (6.74 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm(~82.4% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 12;;;;microSDXC (dedicated slot);32GB 3GB RAM;eMMC 5.1;13 MP, (wide), AFother unspecified cameras;LED flash;1080p@30fps;8 MP;Yes;Wi-Fi 802.11 b/g/n/ac;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Metallic Black, Metallic Blue, Metallic Grey;About 100 EUR;;;;;;;;;;;;;
https://www.gsmarena.com/lava_blaze_5g-11916.php;https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-5g.jpg;Lava Blaze 5G;Released 2022, October 24;207g, 8.9mm thickness;Android 12;128GB storage, microSDXC;10;0.5%;49,560 hits;"6.52""";720x1600 pixels;4/6 GB RAM;Dimensity 700;5000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2022, October 3;Available. Released 2022, October 24;165.3 x 76.4 x 8.9 mm (6.51 x 3.01 x 0.35 in);207 g (7.30 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 90Hz;6.52 inches, 102.6 cm(~81.3% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 12;Mediatek MT6833 Dimensity 700 (7 nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;microSDXC (uses shared SIM slot);128GB 4GB RAM, 128GB 6GB RAM;eMMC 5.1;50 MP, (wide), 0.64µm, AF2 MP, (macro)VGA;LED flash;1080p@30fps;8 MP, f/2.0, (wide);Yes;Wi-Fi 802.11 b/g/n/ac;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Green, Blue;About 130 EUR;;SA/NSA;LXX503;;;;;;;;;;
https://www.gsmarena.com/lava_blaze_pro-11892.php;https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-pro.jpg;Lava Blaze Pro;Released 2022, September 20;187g, 8.9mm thickness;Android 12;64GB storage, microSDXC;6;0.1%;36,441 hits;"6.52""";720x1600 pixels;4 GB RAM;MT6765V;5000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2022, September 20;Available. Released 2022, September 20;164.8 x 76.3 x 8.9 mm (6.49 x 3.00 x 0.35 in);187 g (6.60 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 90Hz;6.52 inches, 102.6 cm(~81.6% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 12;Mediatek MT6765V/CB Helio G37 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);64GB 4GB RAM;eMMC 5.1;50 MP, (wide), 0.64µm, AF2 MP, (macro)VGA;LED flash;1080p@30fps;8 MP, f/2.0, (wide);Yes;Wi-Fi 802.11 b/g/n/ac;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Gold, Green, Blue, Orange;About 130 EUR;;;LZX404;;;;;;;;;;
https://www.gsmarena.com/lava_blaze-11657.php;https://fdn2.gsmarena.com/vv/bigpic/lava-blaze.jpg;Lava Blaze;Released 2022, July 14;;Android 12;64GB storage, microSDXC;8;0.1%;46,475 hits;"6.52""";720x1600 pixels;3 GB RAM;Helio A22;5000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2022, July 07;Available. Released 2022, July 14;-;-;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm;720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 12;Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC;64GB 3GB RAM;eMMC 5.1;13 MP, (wide), AFOther unspecified cameras;LED flash;1080p@30fps;8 MP, (wide);Yes;Wi-Fi 802.11 b/g/n/ac;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Green, Red, Black, Blue;About 110 EUR;;;;;;;;;;;;;
https://www.gsmarena.com/lava_z3-11421.php;https://fdn2.gsmarena.com/vv/bigpic/lava-z3.jpg;Lava Z3;Released 2022, March;8.9mm thickness;Android 11;32GB storage, microSDXC;6;0.1%;34,394 hits;"6.52""";720x1600 pixels;3 GB RAM;Helio G35;5000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2022, February 26;Available. Released 2022, March;164.5 x 75.8 x 8.9 mm (6.48 x 2.98 x 0.35 in);-;Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm(~82.3% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 11;Mediatek MT6765G Helio G35 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);32GB 3GB RAM;eMMC 5.1;8 MP, f/2.0, (wide), 1.12µm, AFQVGA;LED flash;1080p@30fps;5 MP, f/2.2, (wide);;Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Blue, Cyan;;Glass front, plastic back, plastic frame;;;;;;;;;;;;
https://www.gsmarena.com/lava_x2-11401.php;https://fdn2.gsmarena.com/vv/bigpic/lava-x2.jpg;Lava X2;Released 2022, March 12;192g, 9mm thickness;Android 11;32GB storage, microSDXC;10;0.1%;44,981 hits;"6.5""";720x1600 pixels;2 GB RAM;Helio G35;5000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2022, March 04;Available. Released 2022, March 12;165 x 76 x 9 mm (6.50 x 2.99 x 0.35 in);192 g (6.77 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.5 inches, 102.0 cm(~81.3% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 11 (Go edition);Mediatek MT6765G Helio G35 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);32GB 2GB RAM;eMMC 5.1;8 MP, f/2.0, (wide), 1.12µm, AFQVGA;LED flash;1080p@30fps;5 MP, f/2.2, (wide);;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Blue, Cyan;;Glass front, plastic back, plastic frame;;;;;;;;;;;;
https://www.gsmarena.com/lava_agni_5g-11210.php;https://fdn2.gsmarena.com/vv/bigpic/lava-agni-5g.jpg;Lava Agni 5G;Released 2021, November 18;204g, 9.1mm thickness;Android 11;128GB storage, microSDXC;23;0.2%;146,224 hits;"6.78""";1080x2460 pixels;8 GB RAM;Dimensity 810;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2021, November 09;Available. Released 2021, November 18;168.8 x 76.8 x 9.1 mm (6.65 x 3.02 x 0.36 in);204 g (7.20 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 90Hz;6.78 inches, 109.2 cm(~84.2% screen-to-body ratio);1080 x 2460 pixels (~396 ppi density);Android 11;Mediatek MT6833P Dimensity 810 (6 nm);Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;microSDXC (uses shared SIM slot);128GB 8GB RAM;;64 MP, f/1.8, (wide), 0.7µm, AF5 MP, 115˚, (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth);Dual-LED flash, HDR;1080p@30fps;16 MP, f/2.0, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;5.1, A2DP, LE;GPS, GLONASS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 5000 mAh, non-removable;Fiery Blue;About 210 EUR;;41, 77, 78 SA/NSA;LXX501;Corning Gorilla Glass 3;;;;;;;;;
https://www.gsmarena.com/lava_z2s-11024.php;https://fdn2.gsmarena.com/vv/bigpic/lava-z2s.jpg;Lava Z2s;Released 2021, January 11;190g, 9mm thickness;Android 11;32GB storage, microSDXC;4;N/A;43,048 hits;"6.51""";720x1600 pixels;2 GB RAM;Helio G35;5000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2021, January 07;Available. Released 2021, January 11;164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in);190 g (6.70 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.51 inches, 102.3 cm(~82.1% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 11 (Go edition);Mediatek MT6765G Helio G35 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);32GB 2GB RAM;eMMC 5.1;8 MP, f/2.0, (wide), 1.12µm, AF;LED flash;1080p@30fps;5 MP, f/2.2, (wide);1080p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C;Accelerometer;Li-Po 5000 mAh, non-removable;Striped Blue;About 80 EUR;Glass front, plastic back, plastic frame;;;Corning Gorilla Glass 3;;;;;;;;;
https://www.gsmarena.com/lava_z2_max-10902.php;https://fdn2.gsmarena.com/vv/bigpic/lava-z2-max.jpg;Lava Z2 Max;Released 2021, May 11;216g, 9.1mm thickness;Android 10;32GB storage, microSDXC;4;0.1%;61,534 hits;"7.0""";720x1640 pixels;2 GB RAM;;6000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2021, May 11;Available. Released 2021, May 11;174.7 x 78.6 x 9.1 mm (6.88 x 3.09 x 0.36 in);216 g (7.62 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;7.0 inches, 116.4 cm(~84.7% screen-to-body ratio);720 x 1640 pixels (~256 ppi density);Android 10 (Go edition);;Quad-core 1.8 GHz;;microSDXC (dedicated slot);32GB 2GB RAM;eMMC 5.1;"13 MP, f/1.9, (wide), 1/3.0"", 1.12µm, AF2 MP, f/2.4, (depth)";LED flash;720p@30fps;8 MP, f/2.0, (wide), 1.12µm;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Accelerometer;Li-Po 6000 mAh, non-removable;Stroked Blue, Stroked Cyan;About 90 EUR;Glass front, plastic back, plastic frame;;LS0001;Corning Gorilla Glass 3;;;;;;;;;
https://www.gsmarena.com/lava_z6-10666.php;https://fdn2.gsmarena.com/vv/bigpic/lava-z6.jpg;Lava Z6;Released 2021, January 11;190g, 9mm thickness;Android 10;64GB storage, microSDXC;9;N/A;83,788 hits;"6.51""";720x1600 pixels;6 GB RAM;Helio G35;5000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2021, January 07;Available. Released 2021, January 11;164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in);190 g (6.70 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.51 inches, 102.3 cm(~82.1% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 10;Mediatek MT6765G Helio G35 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);64GB 6GB RAM;eMMC 5.1;"13 MP, f/1.9, (wide), 1/3.0"", 1.12µm, AF5 MP, (ultrawide)2 MP, f/2.4, (depth)";LED flash;1080p@30fps;"16 MP, f/2.0, (wide), 1/3.06"" 1.0µm";1080p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Blue, Red;About 110 EUR;Glass front, plastic back, plastic frame;;LMX06;Corning Gorilla Glass 3;LED flash;;;;;;;;
https://www.gsmarena.com/lava_z4-10667.php;https://fdn2.gsmarena.com/vv/bigpic/lava-z4.jpg;Lava Z4;Released 2021, January 11;190g, 9mm thickness;Android 10;64GB storage, microSDXC;2;N/A;37,735 hits;"6.51""";720x1600 pixels;4 GB RAM;Helio G35;5000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2021, January 07;Available. Released 2021, January 11;164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in);190 g (6.70 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.51 inches, 102.3 cm(~82.1% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 10;Mediatek MT6765G Helio G35 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);64GB 4GB RAM;eMMC 5.1;"13 MP, f/1.9, (wide), 1/3.0"", 1.12µm, AF5 MP, (ultrawide)2 MP, f/2.4, (depth)";LED flash;1080p@30fps;"16 MP, f/2.0, (wide), 1/3.06"" 1.0µm";1080p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Blue, Red;About 100 EUR;Glass front, plastic back, plastic frame;;;Corning Gorilla Glass 3;LED flash;;;;;;;;
https://www.gsmarena.com/lava_z2-10668.php;https://fdn2.gsmarena.com/vv/bigpic/lava-z2.jpg;Lava Z2;Released 2021, January 11;190g, 9mm thickness;Android 10;32GB storage, microSDXC;2;N/A;36,359 hits;"6.51""";720x1600 pixels;2 GB RAM;Helio G35;5000 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2021, January 07;Available. Released 2021, January 11;164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in);190 g (6.70 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.51 inches, 102.3 cm(~82.1% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~270 ppi density);Android 10 (Go edition);Mediatek MT6765G Helio G35 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);32GB 2GB RAM;eMMC 5.1;"13 MP, f/1.9, (wide), 1/3.0"", 1.12µm, AF2 MP, f/2.4, (depth)";LED flash;1080p@30fps;8 MP, f/2.0, (wide);1080p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C;Fingerprint (rear-mounted), accelerometer;Li-Po 5000 mAh, non-removable;Blue, Red;About 80 EUR;Glass front, plastic back, plastic frame;;;Corning Gorilla Glass 3;;;;;;;;;
https://www.gsmarena.com/lava_z1-10669.php;https://fdn2.gsmarena.com/vv/bigpic/lava-z1.jpg;Lava Z1;Released 2021, January 26;175g, 10.3mm thickness;Android 10;16GB storage, microSDXC;2;N/A;41,057 hits;"5.0""";480x854 pixels;2 GB RAM;Helio A20;3100 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2021, January 07;Available. Released 2021, January 26;145.1 x 73.3 x 10.3 mm (5.71 x 2.89 x 0.41 in);175 g (6.17 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);TFT LCD;5.0 inches, 68.9 cm(~64.8% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 10 (Go edition);Mediatek MT6761 Helio A20 (12 nm);Quad-core 1.8 GHz Cortex-A53;PowerVR GE8320;microSDXC (uses shared SIM slot);16GB 2GB RAM;eMMC 5.1;5 MP, f/2.2;LED flash;720p@30fps;5 MP, f/2.2;720p;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS;No;FM radio;microUSB;Accelerometer;Li-Po 3100 mAh, removable;Blue, Red;About 60 EUR;Glass front, plastic back, plastic frame;;LS000Z1;Corning Gorilla Glass 3;;;;;;;;;
https://www.gsmarena.com/lava_z61_pro-10323.php;https://fdn2.gsmarena.com/vv/bigpic/lava-z61-pro.jpg;Lava Z61 Pro;Released 2020, July;160g, 9.2mm thickness;Android 9.0;16GB storage, microSDXC;2;N/A;63,319 hits;"5.45""";720x1440 pixels;2 GB RAM;;3100 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2020, July 09;Available. Released 2020, July;147 x 71.8 x 9.2 mm (5.79 x 2.83 x 0.36 in);160 g (5.64 oz);Dual SIM (Nano-SIM, dual stand-by);TFT LCD;5.45 inches, 76.7 cm(~72.6% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~295 ppi density);Android 9.0 (Pie);;Octa-core 1.6 GHz processor;;microSDXC (dedicated slot);16GB 2GB RAM;eMMC 5.1;8 MP, f/2.0, (wide), 1.12µ;LED flash, HDR, panorama;1080p@30fps;5 MP, f/2.2, (wide), 1.12µ;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS;No;FM radio;microUSB 2.0, OTG;Accelerometer, proximity;Li-Po 3100 mAh, non-removable;Midnight Blue, Amber Red;About 70 EUR;Glass front, plastic back, plastic frame;;;;LED flash;;;;;;;;
https://www.gsmarena.com/lava_z71-10043.php;https://fdn2.gsmarena.com/vv/bigpic/lava-z71.jpg;Lava Z71;Released 2020, January;150g, 9mm thickness;Android 9.0;32GB storage, microSDXC;8;N/A;121,285 hits;"5.71""";720x1520 pixels;2 GB RAM;Helio P22;3200 mAh Li-Po;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 8, 40, 41;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2020, January;Available. Released 2020, January;145.6 x 70.9 x 9 mm (5.73 x 2.79 x 0.35 in);150 g (5.29 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.71 inches, 81.4 cm(~78.8% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~295 ppi density);Android 9.0 (Pie);Mediatek MT6762 Helio P22 (12 nm);Octa-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (dedicated slot);32GB 2GB RAM;eMMC 5.1;13 MP2 MP;LED flash, HDR, panorama;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS;No;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 3200 mAh, non-removable;Ruby Red, Steel Blue;About 80 EUR;Glass front, plastic back, plastic frame;;;;LED flash;;;;;;;;
https://www.gsmarena.com/lava_z40-9622.php;https://fdn2.gsmarena.com/vv/bigpic/lava-z40.jpg;Lava Z40;Released 2019, March;120g, 11.7mm thickness;Android 8.1 Oreo;8GB storage, microSDXC;4;N/A;106,058 hits;"4.0""";480x800 pixels;1 GB RAM;Unisoc SC9832E;2250 mAh Li-Ion;GSM 900 / 1800 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 40, 41;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2019, March;Available. Released 2019, March;125.5 x 63.9 x 11.7 mm (4.94 x 2.52 x 0.46 in);120 g (4.23 oz);Dual SIM (Nano-SIM, dual stand-by);TN TFT LCD;4.0 inches, 45.5 cm(~56.8% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Android 8.1 Oreo (Go edition);Unisoc SC9832E;Quad-core 1.4 GHz;Mali;microSDXC;8GB 1GB RAM;;2 MP;LED flash, HDR;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS, BDS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2250 mAh, removable;Gold, Glossy Black;About 3500 INR;;;;Corning Gorilla Glass (unspecified version);LED flash;;;;;;;;
