Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;battalktime1;colors;price;gpu;cam1features;cam2video;featuresother;bodyother;optionalother;net3g;speed;displayprotection;batstandby1;displayother;sar-us
https://www.gsmarena.com/toshiba_excite_go-6466.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-go.jpg;Toshiba Excite Go;Released 2014, July;354.4g, 10.9mm thickness;Android 4.4.2;8GB storage, microSDXC;6;0.1%;418,379 hits;"7.0""";600x1024 pixels;1 GB RAM;Intel Atom Z3735G;3500 mAh Li-Po;N/A;No;No;2014, May. Released 2014, July;Discontinued;199 x 119.8 x 10.9 mm (7.83 x 4.72 x 0.43 in);354.4 g (12.49 oz);No;IPS LCD;7.0 inches, 137.9 cm(~57.8% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);Android 4.4.2 (KitKat);Intel Atom Z3735G;Quad-core 1.33 GHz;microSDXC (dedicated slot);8GB 1GB RAM;VGA;Yes;No;Wi-Fi 802.11 b/g/n;4.0, A2DP;;No;No;microUSB 2.0;Accelerometer;Li-Po 3500 mAh, non-removable (13 Wh);Up to 7 h (multimedia);Black/Silver, Black/White;About 80 EUR;;;;;;;;;;;;
https://www.gsmarena.com/toshiba_excite_7c_at7_b8-6467.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-7c-at7-b8.jpg;Toshiba Excite 7c AT7-B8;Released 2014, February;354.4g, 10.9mm thickness;Android 4.2.2;8GB storage, microSD;1;N/A;189,628 hits;"7.0""";600x1024 pixels;1 GB RAM;Rockchip RK3168;3500 mAh Li-Po;N/A;No;No;2014, February. Released 2014, February;Discontinued;199 x 119.8 x 10.9 mm (7.83 x 4.72 x 0.43 in);354.4 g (12.49 oz);No;IPS LCD;7.0 inches, 137.9 cm(~57.8% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);Android 4.2.2 (Jelly Bean);Rockchip RK3168;Dual-core 1.5 GHz Cortex-A9;microSD (dedicated slot);8GB 1GB RAM;VGA;Yes;No;Wi-Fi 802.11 b/g/n;4.0, A2DP;No;No;No;microUSB 2.0;Accelerometer;Li-Po 3500 mAh, non-removable (13 Wh);Up to 11 h (multimedia);Black/Silver;About 70 EUR;;;;;;;;;;;;
https://www.gsmarena.com/toshiba_excite_pro-5500.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-pro-new.jpg;Toshiba Excite Pro;Released 2013, July;630.5g, 10.2mm thickness;Android 4.2.1, upgradаble to 4.3;32GB storage, microSDHC;15;N/A;324,854 hits;"10.1""";2560x1600 pixels;2 GB RAM;Nvidia Tegra 4;;N/A;No;No;2013, June. Released 2013, July;Discontinued;261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in);630.5 g (1.39 lb);No;LED-backlit IPS LCD;10.1 inches, 295.8 cm(~63.6% screen-to-body ratio);2560 x 1600 pixels, 16:10 ratio (~299 ppi density);Android 4.2.1 (Jelly Bean), upgradаble to 4.3 (Jelly Bean);Nvidia Tegra 4;Quad-core Cortex-A15;microSDHC (dedicated slot);32GB 2GB RAM;8 MP, AF;Yes;1.2 MP;Wi-Fi 802.11 a/b/g/n/ac, dual-band;4.0, A2DP;GPS;No;No;microUSB 2.0;Accelerometer, gyro, compass;Li-Po (33 Wh);Up to 11 h (multimedia);Silver;About 210 EUR;ULP GeForce;LED flash;;HDMI port;;;;;;;;
https://www.gsmarena.com/toshiba_excite_write-5501.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-write-new.jpg;Toshiba Excite Write;Released 2013, July;671.3g, 10.2mm thickness;Android 4.2.1;32GB storage, microSDHC;8;N/A;197,836 hits;"10.1""";2560x1600 pixels;2 GB RAM;Nvidia Tegra 4;;N/A;No;No;2013, June. Released 2013, July;Discontinued;261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in);671.3 g (1.48 lb);No;LED-backlit IPS LCD;10.1 inches, 295.8 cm(~63.6% screen-to-body ratio);2560 x 1600 pixels, 16:10 ratio (~299 ppi density);Android 4.2.1 (Jelly Bean);Nvidia Tegra 4;Quad-core Cortex-A15;microSDHC (dedicated slot);32GB 2GB RAM;8 MP, AF;Yes;1.2 MP;Wi-Fi 802.11 a/b/g/n/ac, dual-band;4.0, A2DP;GPS;No;No;microUSB 2.0;Accelerometer, gyro, compass;Li-Po (33 Wh);Up to 11 h (multimedia);Silver;About 440 EUR;ULP GeForce;LED flash;;HDMI port;Stylus;;;;;;;
https://www.gsmarena.com/toshiba_excite_pure-5502.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-pure-new.jpg;Toshiba Excite Pure;Released 2013, July;598.7g, 10.2mm thickness;Android 4.2.1, upgradаble to 4.3;16GB storage, microSDHC;6;N/A;180,194 hits;"10.1""";1280x800 pixels;1 GB RAM;Nvidia Tegra 3;;N/A;No;No;2013, June. Released 2013, July;Discontinued;261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in);598.7 g (1.32 lb);No;LED-backlit IPS LCD;10.1 inches, 295.8 cm(~63.6% screen-to-body ratio);1280 x 800 pixels, 16:10 ratio (~149 ppi density);Android 4.2.1 (Jelly Bean), upgradаble to 4.3 (Jelly Bean);Nvidia Tegra 3;Quad-core;microSDHC (dedicated slot);16GB 1GB RAM;1.2 MP;Yes;No;Wi-Fi 802.11 b/g/n;4.0, A2DP;GPS;No;No;microUSB 2.0;Accelerometer, gyro, compass;Li-Po (25 Wh);Up to 13 h 30 min (multimedia);Silver;About 230 EUR;;;;HDMI port;;;;;;;;
https://www.gsmarena.com/toshiba_excite_10_se-5154.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-10-se.jpg;Toshiba Excite 10 SE;Released 2012, December;639.6g, 10.2mm thickness;Android 4.1;16GB storage, microSDHC;14;N/A;243,097 hits;"10.1""";1280x800 pixels;1 GB RAM;Nvidia Tegra 3;;N/A;No;No;2012, December. Released 2012, December;Discontinued;261.6 x 180.3 x 10.2 mm (10.30 x 7.10 x 0.40 in);639.6 g (1.41 lb);No;LED-backlit IPS LCD;10.1 inches, 295.8 cm(~62.7% screen-to-body ratio);1280 x 800 pixels, 16:10 ratio (~149 ppi density);Android 4.1 (Jelly Bean);Nvidia Tegra 3;Quad-core 1.5 GHz;microSDHC (dedicated slot);16GB 1GB RAM;3.15 MP, AF;Yes;1.2 MP;Wi-Fi 802.11 b/g/n;3.0, A2DP;GPS;No;No;microUSB 2.0;Accelerometer, gyro, compass;Li-Po (25 Wh);Up to 12 h (multimedia);Black/Silver;About 250 EUR;ULP GeForce 2;;;;;SRS audio;;;;;;
https://www.gsmarena.com/toshiba_excite_13_at335-4691.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-13-AT335.jpg;Toshiba Excite 13 AT335;Released 2012, July;998g, 9.8mm thickness;Android 4.0;32GB/64GB storage, SD/microSDHC;11;N/A;318,544 hits;"13.3""";1600x900 pixels;1 GB RAM;Nvidia Tegra 3;;GSM 850 / 900 / 1800 / 1900;Yes;Yes;2012, April. Released 2012, July;Discontinued;343.8 x 211.2 x 9.8 mm (13.54 x 8.31 x 0.39 in);998 g (2.20 lb);Mini-SIM;LED-backlit IPS LCD;13.3 inches, 644.9 cm(~88.8% screen-to-body ratio);1600 x 900 pixels, 16:9 ratio (~120 ppi density);Android 4.0 (Ice Cream Sandwich);Nvidia Tegra 3;Quad-core 1.5 GHz;SD/microSDHC (dedicated slot);32GB 1GB RAM, 64GB 1GB RAM;5 MP, AF;1080p@30fps;2 MP;Wi-Fi 802.11 b/g/n, hotspot;3.0;GPS, A-GPS;;No;miniUSB 2.0;Accelerometer, gyro, compass;Non-removable Li-Po battery (38 Wh);Up to 13 h;Dark gray metallic;About 540 EUR;ULP GeForce 2;LED flash;;HDMI portMP3/WAV/WMA/eAAC+ playerMP4/H.264/WMV playerOrganizerDocument viewerPhoto editorVoice memoPredictive text input;;SRS audio;HSDPA;HSPA;Corning Gorilla Glass;Up to 168 h;;
https://www.gsmarena.com/toshiba_excite_10_at305-4692.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-10-AT305.jpg;Toshiba Excite 10 AT305;Released 2012, May;599g, 9mm thickness;Android 4.0;16GB/32GB/64GB storage, SD/microSDHC;12;N/A;311,203 hits;"10.1""";1280x800 pixels;1 GB RAM;Nvidia Tegra 3;;N/A;No;No;2012, April. Released 2012, May;Discontinued;262 x 178 x 9 mm (10.31 x 7.01 x 0.35 in);599 g (1.32 lb);No;LED-backlit LCD,;10.1 inches, 295.8 cm(~63.4% screen-to-body ratio);1280 x 800 pixels, 16:10 ratio (~149 ppi density);Android 4.0 (Ice Cream Sandwich);Nvidia Tegra 3;Quad-core 1.5 GHz;SD/microSDHC (dedicated slot);16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM;5 MP, AF;720p;2 MP;Wi-Fi 802.11 b/g/n;3.0, A2DP;GPS;;No;microUSB 2.0, OTG;Accelerometer, gyro, compass;Non-removable Li-Po battery (25 Wh);Up to 10 h;Black/Silver;About 290 EUR;ULP GeForce 2;LED flash;;HDMI portMP3/WAV/WMA/eAAC+ playerMP4/H.264/WMV playerOrganizerDocument viewerPhoto editorVoice memoPredictive text input;;SRS audio;;;Corning Gorilla Glass;Up to 168 h;;
https://www.gsmarena.com/toshiba_excite_7_7_at275-4693.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-77-AT275.jpg;Toshiba Excite 7.7 AT275;Released 2012, July;332g, 7.8mm thickness;Android 4.0;16GB/32GB/64GB storage, microSDHC;14;N/A;269,564 hits;"7.7""";1280x800 pixels;1 GB RAM;Nvidia Tegra 3;;GSM 850 / 900 / 1800 / 1900;Yes;Yes;2012, April. Released 2012, July;Discontinued;204.5 x 135.2 x 7.8 mm (8.05 x 5.32 x 0.31 in);332 g (11.71 oz);Mini-SIM;AMOLED;7.7 inches, 171.9 cm(~62.2% screen-to-body ratio);1280 x 800 pixels, 16:10 ratio (~196 ppi density);Android 4.0 (Ice Cream Sandwich);Nvidia Tegra 3;Quad-core 1.5 GHz;microSDHC (dedicated slot);16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM;5 MP, AF;720p;2 MP;Wi-Fi 802.11 b/g/n, hotspot;3.0;GPS, A-GPS;;No;miniUSB 2.0;Accelerometer, gyro, compass;Non-removable Li-Po battery (15 Wh);;Dark gray metallic;About 410 EUR;ULP GeForce 2;LED flash;;MP3/WAV/WMA/eAAC+ playerMP4/H.264/WMV playerOrganizerDocument viewerPhoto editorVoice memoPredictive text input;;SRS audio;HSDPA;HSPA;Corning Gorilla Glass;;;
https://www.gsmarena.com/toshiba_excite_at200-4400.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-at200.jpg;Toshiba Excite AT200;Released 2012, January;558g, 7.7mm thickness;Android 3.2;16GB/32GB storage, microSDHC;11;N/A;267,319 hits;"10.1""";1280x800 pixels;1 GB RAM;TI OMAP 4430;;N/A;No;No;2011, September. Released 2012, January;Discontinued;256 x 176 x 7.7 mm (10.08 x 6.93 x 0.30 in);558 g (1.23 lb);No;LED-backlit LCD,;10.1 inches, 295.8 cm(~65.6% screen-to-body ratio);1280 x 800 pixels, 16:10 ratio (~149 ppi density);Android 3.2 (Honeycomb);TI OMAP 4430;1.2 GHz;microSDHC (dedicated slot);16GB 1GB RAM, 32GB 1GB RAM;5 MP, AF;720p;2 MP;Wi-Fi 802.11 b/g/n;2.1, A2DP, EDR;GPS, A-GPS;;No;miniUSB 2.0;Accelerometer, gyro, compass;Non-removable Li-Ion battery;Up to 8 h (multimedia);Black;About 530 EUR;PowerVR SGX540;LED flash;;HDMI portMP3/WAV/WMA/eAAC+ playerMP4/H.264/WMV playerOrganizerDocument viewerPhoto editorVoice memoPredictive text input;;;;;;;;
https://www.gsmarena.com/toshiba_thrive_7-4203.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-thrive-7.jpg;Toshiba Thrive 7;Released 2011, December;400g, 11.9mm thickness;Android 3.2;16GB/32GB storage, microSDHC;7;N/A;291,265 hits;"7.0""";1280x800 pixels;1 GB RAM;Nvidia Tegra 2 T20;;N/A;No;No;2011, September. Released 2011, December;Discontinued;189 x 128.1 x 11.9 mm (7.44 x 5.04 x 0.47 in);400 g (14.11 oz);No;LED-backlit LCD,;7.0 inches, 142.1 cm(~58.7% screen-to-body ratio);1280 x 800 pixels, 16:10 ratio (~216 ppi density);Android 3.2 (Honeycomb);Nvidia Tegra 2 T20;Dual-core 1.0 GHz Cortex-A9;microSDHC (dedicated slot);16GB 1GB RAM, 32GB 1GB RAM;5 MP, AF;720p;2 MP;Wi-Fi 802.11 b/g/n;2.1, A2DP;GPS, A-GPS;;No;miniUSB 2.0;Accelerometer, gyro, compass;Non-removable Li-Ion battery (15 Wh);Up to 6 h;Black;About 250 EUR;ULP GeForce;LED flash;;HDMI portMP3/WAV/WMA/eAAC+ playerMP4/H.264/WMV playerOrganizerDocument viewerPhoto editorVoice memoPredictive text input (Swype);;;;;;;;
https://www.gsmarena.com/toshiba_windows_phone_is12t-4076.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-windows-phone-is12t.jpg;Toshiba Windows Phone IS12T;Released 2011, Q3;113g, 10.6mm thickness;Microsoft Windows Phone 7.5 Mango;32GB storage, no card slot;30;N/A;698,492 hits;"3.7""";480x800 pixels; ;Snapdragon S2;1460 mAh Li-Ion;CDMA 800 / 1900;;;2011, July. Released 2011, Q3;Discontinued;118 x 59 x 10.6 mm (4.65 x 2.32 x 0.42 in);113 g (3.99 oz);Mini-SIM;TFT;3.7 inches, 39.0 cm(~56.0% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~252 ppi density);Microsoft Windows Phone 7.5 Mango;Qualcomm MSM8655 Snapdragon S2;1.0 GHz Scorpion;No;32GB (28GB user available);13.2 MP, AF;Yes;No;Wi-Fi 802.11b/g/n;2.1, A2DP, EDR;GPS, A-GPS;;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, proximity;Removable Li-Ion 1460 mAh battery;Up to 6 h 40 min;Citrus, Magenta, Black;About 590 EUR;Adreno 205;LED flash;;MP3/AAC+/WAV/WMA9 playerMP4/WMV9 playerDocument viewer/editorFacebook integration;IPX8 water resistant;;CDMA2000 1xEV-DO;EV-DO Rev.A 3.1 Mbps;;Up to 280 h;;
https://www.gsmarena.com/toshiba_thrive-3970.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-thrive.jpg;Toshiba Thrive;Released 2011, July;725g, 16mm thickness;Android 3.0, up to 3.2;8GB/16GB/32GB storage, SD;15;N/A;490,808 hits;"10.1""";1280x800 pixels;1 GB RAM;Nvidia Tegra 2 T20;;GSM 850 / 900 / 1800 / 1900;;;2010, June. Released 2011, July;Discontinued;273 x 177 x 16 mm (10.75 x 6.97 x 0.63 in);725 g (1.60 lb);Mini-SIM;IPS LCD;10.1 inches, 295.8 cm(~61.2% screen-to-body ratio);1280 x 800 pixels, 16:10 ratio (~149 ppi density);Android 3.0 (Honeycomb), upgradable to 3.2 (Honeycomb);Nvidia Tegra 2 T20;Dual-core 1.0 GHz Cortex-A9;SD, up to 32 GB;8GB 1GB RAM, 16GB 1GB RAM, 32GB 1GB RAM;5 MP, AF;Yes;2 MP;Wi-Fi 802.11 b/g/n, hotspot;Yes;GPS, A-GPS;;No;miniUSB 2.0, USB 2.0;Accelerometer, gyro, compass;Non-removable Li-Ion battery;Up to 7 h;Black;About 300 EUR;ULP GeForce;;;HDMI portMP3/WAV/WMA/eAAC+ playerMP4/H.264/WMV playerOrganizerDocument viewerPhoto editorVoice memoPredictive text input;;;HSDPA 850 / 1900 / 2100;HSPA 7.2/2 Mbps;;;;
https://www.gsmarena.com/toshiba_k01-3161.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-k01.jpg;Toshiba K01;Released 2010, April;158g, 12.9mm thickness;Microsoft Windows Mobile 6.5 Professional;256MB RAM storage, microSDHC slot;16;N/A;448,541 hits;"4.1""";480x800 pixels;256 MB RAM;Snapdragon S1;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2010, February. Released 2010, April;Discontinued;122 x 65 x 12.9 mm (4.80 x 2.56 x 0.51 in);158 g (5.57 oz);Mini-SIM;AMOLED, 65K colors;4.1 inches, 47.8 cm(~60.3% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~228 ppi density);Microsoft Windows Mobile 6.5 Professional, upgradable to Windows Mobile 6.5.3;Qualcomm QSD8250 Snapdragon S1;1.0 GHz Scorpion;microSDHC (dedicated slot);256MB RAM, 512MB ROM;3.15 MP, AF;480p@30fps;Yes;Wi-Fi 802.11b/g;2.0, A2DP, EDR;GPS, A-GPS;;No;microUSB 2.0;Accelerometer;Removable Li-Ion 1000 mAh battery;;Black, White;;Adreno 200;;;Pocket OfficeMP3/WAV/WMA/eAAC+ playerMP4/H.264/WMV playerOrganizerFacebook and YouTube appsPhoto editorVoice memo/dial/commandsPredictive text input;;;HSDPA 2100;HSPA 7.2/2 Mbps;;;3D UIShake control;0.37 W/kg (head)     0.36 W/kg (body)
https://www.gsmarena.com/toshiba_tg02-3159.php;https://fdn2.gsmarena.com/vv/bigpic/toshiba-tg02.jpg;Toshiba TG02;Released 2010, February;119g, 9.9mm thickness;Microsoft Windows Mobile 6.5 Professional;256MB RAM storage, microSDHC slot;12;N/A;525,197 hits;"4.1""";480x800 pixels;256 MB RAM;Snapdragon S1;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2010, February;Discontinued;126 x 66 x 9.9 mm (4.96 x 2.60 x 0.39 in);119 g (4.20 oz);Mini-SIM;TFT, 65K colors;4.1 inches, 47.8 cm(~57.5% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~228 ppi density);Microsoft Windows Mobile 6.5 Professional;Qualcomm QSD8250 Snapdragon S1;1.0 GHz Scorpion;microSDHC (dedicated slot);256MB RAM, 512MB ROM;3.15 MP, AF;480p@30fps;Yes;Wi-Fi 802.11b/g;2.0, A2DP, EDR;GPS, A-GPS;;No;microUSB 2.0;Accelerometer;Removable Li-Ion 1000 mAh battery;Up to 5 h (2G) / Up to 4 h (3G);Black, White;;Adreno 200;;;Pocket OfficeOrganizerMP3/eAAC+/WMA playerMP4/H.264/WMV playerFacebook and YouTube appsPhoto editorVoice memo/dial/commandsPredictive text input;;;HSDPA 900 / 2100;HSPA 7.2/2 Mbps;;Up to 275 h (2G) / Up to 220 h (3G);3D UIShake control;0.20 W/kg (head)     0.30 W/kg (body)
