Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;os;memoryslot;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;bodyother;internalmemory;gprstext;edge;cam1features
https://www.gsmarena.com/i_mobile_i858-3327.php;https://fdn2.gsmarena.com/vv/bigpic/i858.jpg;i-mobile i858;Released 2010;12.8mm thickness;Android 2.0;microSDHC slot;10;N/A;350,282 hits;"4.3""";480x800 pixels; ;;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;HSPA;2010. Released 2010;Discontinued;120 x 67 x 12.8 mm (4.72 x 2.64 x 0.50 in);-;Mini-SIM;TFT, 256K colors;4.3 inches, 52.6 cm(~65.5% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~217 ppi density);3D Widget UI;Android 2.0 (Donut);microSDHC (dedicated slot);5 MP, AF;Yes;No;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS;Stereo FM radio;Proprietary;Accelerometer;TV tunerMP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 1500 mAh battery;Up to 250 h;Up to 4 h 30 min;Black, White;;;;;
https://www.gsmarena.com/i_mobile_8500-3328.php;https://fdn2.gsmarena.com/vv/bigpic/8500.jpg;i-mobile 8500;Released 2010;14.9mm thickness;Android OS;256MB 128MB RAM storage, microSDHC slot;6;N/A;133,026 hits;"3.2""";320x480 pixels;128 MB RAM;;1500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;HSPA;2010. Released 2010;Discontinued;112 x 56.5 x 14.9 mm (4.41 x 2.22 x 0.59 in);-;Mini-SIM;TFT, 256K colors;3.2 inches, 30.5 cm(~48.2% screen-to-body ratio);320 x 480 pixels, 3:2 ratio (~180 ppi density);;Android OS;microSDHC (dedicated slot);5 MP;Yes;No;Wi-Fi 802.11 b/g;2.0, A2DP;GPS, A-GPS;Stereo FM radio;Proprietary;Accelerometer;MP3/WAV/AAC playerMP4/H.263 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 1500 mAh battery;Up to 250 h;Up to 8 h;Silver;Trackball;256MB 128MB RAM;;;
https://www.gsmarena.com/i_mobile_5230-3329.php;https://fdn2.gsmarena.com/vv/bigpic/5230.jpg;i-mobile 5230;Released 2010;14.4mm thickness;Feature phone;48MB storage, microSD slot;8;N/A;139,565 hits;"2.8""";240x320 pixels; ;;1200 mAh Li-Ion;GSM 900 / 1800 / 1900 - SIM 1;;;2010. Released 2010;Discontinued;116 x 58 x 14.4 mm (4.57 x 2.28 x 0.57 in);-;Dual SIM (Mini-SIM);TFT resistive touchscreen, 256K colors;2.8 inches, 24.3 cm(~36.1% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);;;microSD (dedicated slot);5 MP, AF;176x144@15fps;No;No;2.0, A2DP;No;Stereo FM radio;miniUSB 2.0;Accelerometer;Analog TVMP3/AAC+ playerH.263 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 1200 mAh battery;Up to 400 h;Up to 7 h 30 min;Silver;;48MB;Class 12;Class 12;LED flash
https://www.gsmarena.com/i_mobile_hitz_2206-3331.php;https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz-2206.jpg;i-mobile Hitz 2206;Released 2010;13.4mm thickness;Feature phone;microSD slot;6;N/A;101,926 hits;;220x176 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 - SIM 1;;;2010. Released 2010;Discontinued;110 x 59.4 x 13.4 mm (4.33 x 2.34 x 0.53 in);-;Dual SIM (Mini-SIM);TFT, 65K colors;;220 x 176 pixels;;;microSD (dedicated slot);Yes;No;No;No;No;No;Stereo FM radio;No;;OrganizerVoice memoPredictive text input;Removable Li-Ion 1000 mAh battery;Up to 667 h;Up to 4 h;Silver;Flashlight;;Class 10;No;
https://www.gsmarena.com/i_mobile_5220-3330.php;https://fdn2.gsmarena.com/vv/bigpic/5220.jpg;i-mobile 5220;Released 2010;13mm thickness;Feature phone;microSD slot;10;N/A;78,708 hits;"2.4""";240x320 pixels; ;;1100 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2010. Released 2010;Discontinued;116.5 x 52.5 x 13 mm (4.59 x 2.07 x 0.51 in);-;Mini-SIM;TFT, 256K colors;2.4 inches, 17.8 cm(~29.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;microSD (dedicated slot);5 MP, AF;Yes;No;No;2.0, A2DP;No;Stereo FM radio;miniUSB;;TV tuner/recorderMP3/AAC playerH.263 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 1100 mAh battery;Up to 420 h;Up to 8 h;Black, White, Red;;;Class 10;Class 10;LED flash
https://www.gsmarena.com/i_mobile_tv658_touch&move-2974.php;https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz658.jpg;i-mobile TV658 Touch&Move;Released 2009, October;13mm thickness;Feature phone;microSD slot;9;N/A;201,901 hits;"3.0""";240x400 pixels; ;;1050 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2009, October. Released 2009, October;Discontinued;111 x 56 x 13 mm (4.37 x 2.20 x 0.51 in);;Dual SIM (Mini-SIM);TFT, 256K colors;3.0 inches, 25.6 cm(~41.2% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~155 ppi density);;;microSD (dedicated slot);8 MP, AF;Yes;No;No;1.2, A2DP;No;FM radio, built-in antenna;miniUSB;Accelerometer;TV tunerMP3 playerMP4/3GP playerOrganizerVoice memoPredictive text input;Removable Li-Ion 1050 mAh battery;Up to 300 h;Up to 4 h;Black;;;Class 10;Class 10;flash
https://www.gsmarena.com/i_mobile_hitz_212-2972.php;https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz212.jpg;i-mobile Hitz 212;Released 2009, October;80g, 13.3mm thickness;Feature phone;microSD slot;4;N/A;76,687 hits;"1.77""";128x160 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800;;;2009, October. Released 2009, October;Discontinued;105 x 46 x 13.3 mm (4.13 x 1.81 x 0.52 in);80 g (2.82 oz);Dual SIM (Mini-SIM);TFT, 65K colors;1.77 inches, 9.9 cm(~20.4% screen-to-body ratio);128 x 160 pixels (~116 ppi density);;;microSD (dedicated slot);CIF;No;No;No;Yes;No;FM radio;Proprietary;;MP3 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 750 mAh battery;Up to 240 h;Up to 3 h;Black-Green, Silver-Blue, Silver-Orange, Pink;;;No;No;
https://www.gsmarena.com/i_mobile_hitz_210-2971.php;https://fdn2.gsmarena.com/vv/bigpic/imobile-hitz210.jpg;i-mobile Hitz 210;Released 2009, October;12.8mm thickness;Feature phone;microSD slot;6;N/A;76,657 hits;"1.8""";128x160 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2009, October. Released 2009, October;Discontinued;112 x 49 x 12.8 mm (4.41 x 1.93 x 0.50 in);;Dual SIM (Mini-SIM);TFT, 65K colors;1.8 inches, 10.2 cm(~18.6% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;;microSD (dedicated slot);CIF;No;No;No;No;No;FM radio;Proprietary;;MP3 playerOrganizerPredictive text input;Removable Li-Ion 700 mAh battery;Up to 150 h;Up to 2 h 30 min;Black;;;No;No;
https://www.gsmarena.com/i_mobile_tv650_touch-2878.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-tv650-touch.jpg;i-mobile TV650 Touch;Released 2009, Q4;13.4mm thickness;Feature phone;microSDHC slot;10;N/A;191,343 hits;"3.0""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2009, July. Released 2009, Q4;Discontinued;110 x 55 x 13.4 mm (4.33 x 2.17 x 0.53 in);;Dual SIM (Mini-SIM);TFT, 256K colors;3.0 inches, 27.9 cm(~46.1% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~133 ppi density);;;microSDHC (dedicated slot);3.15 MP;Yes;No;No;1.2, A2DP;No;FM radio;miniUSB;Accelerometer;TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input;Removable Li-Ion 1000 mAh battery;Up to 200 h;Up to 2 h 30 min;Black;;;Class 10;Class 10;
https://www.gsmarena.com/i_mobile_tv550_touch-2877.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-tv550-touch.jpg;i-mobile TV550 Touch;Released 2009, Q4;14mm thickness;Feature phone;microSDHC slot;10;N/A;128,695 hits;"2.8""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2009, July. Released 2009, Q4;Discontinued;108 x 52 x 14 mm (4.25 x 2.05 x 0.55 in);;Dual SIM (Mini-SIM);TFT, 256K colors;2.8 inches, 24.3 cm(~43.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);;;microSDHC (dedicated slot);VGA;Yes;No;No;1.2, A2DP;No;FM radio;miniUSB;Accelerometer;TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input;Removable Li-Ion 1000 mAh battery;Up to 200 h;Up to 2 h 30 min;Black;;;Class 10;Class 10;
https://www.gsmarena.com/i_mobile_tv_630-2875.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-630.jpg;i-mobile TV 630;Released 2009, Q4;102g, 13mm thickness;Feature phone;microSDHC slot;9;N/A;123,044 hits;"2.4""";240x320 pixels; ;;1100 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2009, July. Released 2009, Q4;Discontinued;115 x 52.5 x 13 mm (4.53 x 2.07 x 0.51 in);102 g (3.60 oz);Dual SIM (Mini-SIM);TFT, 256K colors;2.4 inches, 17.8 cm(~29.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;microSDHC (dedicated slot);8 MP, AF;480p;No;No;Yes;No;FM radio;miniUSB;;TV tuner/recorderMP3 playerMP4/3GP playerOrganizerPredictive text input;Removable Li-Ion 1100 mAh battery;Up to 420 h;Up to 8 h;Black;;;Class 10;Class 10;
https://www.gsmarena.com/i_mobile_tv_628-2874.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-628.jpg;i-mobile TV 628;Released 2009, Q4;109.5g, 17mm thickness;Feature phone;10MB storage, microSDHC slot;9;N/A;95,242 hits;"2.4""";240x320 pixels; ;;950 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2009, July. Released 2009, Q4;Discontinued;113 x 51 x 17 mm (4.45 x 2.01 x 0.67 in);109.5 g (3.84 oz);Dual SIM (Mini-SIM);TFT, 256K colors;2.4 inches, 17.8 cm(~31.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;microSDHC (dedicated slot);3.15 MP;Yes;No;No;Yes;No;FM radio;miniUSB;;TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input;Removable Li-Ion 950 mAh battery;Up to 380 h;Up to 7 h;Black;;10MB;Class 12;No;
https://www.gsmarena.com/i_mobile_tv_620-2873.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-620.jpg;i-mobile TV 620;Released 2009, July;98g, 14.6mm thickness;Feature phone;14MB storage, microSDHC slot;9;N/A;90,340 hits;"2.4""";240x320 pixels; ;;1050 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2009, July;Discontinued;114 x 51.5 x 14.6 mm (4.49 x 2.03 x 0.57 in);98 g (3.46 oz);Dual SIM (Mini-SIM);TFT, 256K colors;2.4 inches, 17.8 cm(~30.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;microSDHC (dedicated slot);3.15 MP;Yes;No;No;1.2, A2DP;No;FM radio;miniUSB;;TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input;Removable Li-Ion 1050 mAh battery;Up to 420 h;Up to 8 h;Black;;14MB;Class 10;;
https://www.gsmarena.com/i_mobile_tv_536-2872.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-536.jpg;i-mobile TV 536;Released 2009, Q4;13.7mm thickness;Feature phone;microSDHC slot;10;N/A;92,491 hits;"2.4""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2009, July. Released 2009, Q4;Discontinued;112 x 51 x 13.7 mm (4.41 x 2.01 x 0.54 in);;Dual SIM (Mini-SIM);TFT, 256K colors;2.4 inches, 17.8 cm(~31.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;microSDHC (dedicated slot);VGA;Yes;No;No;1.2, A2DP;No;FM radio;miniUSB;;TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input;Removable Li-Ion 1000 mAh battery;Up to 250 h;Up to 3 h;Black, Silver;;;Class 10;No;
https://www.gsmarena.com/i_mobile_638cg-2876.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-638cg.jpg;i-mobile 638CG;Released 2009, Q4;14.5mm thickness;Feature phone;25MB storage, microSDHC slot;8;N/A;89,691 hits;"2.4""";240x320 pixels; ;;1050 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2009, July. Released 2009, Q4;Discontinued;113 x 51 x 14.5 mm (4.45 x 2.01 x 0.57 in);;Dual SIM (Mini-SIM);TFT, 256K colors;2.4 inches, 17.8 cm(~31.0% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;microSDHC (dedicated slot);3.15 MP;Yes;No;No;Yes;No;FM radio;microUSB;;TV tunerMP3 playerMP4/3GP playerOrganizerPredictive text input;Removable Li-Ion 1050 mAh battery;Up to 400 h;Up to 8 h 30 min;Black;;25MB;Class 12;No;
https://www.gsmarena.com/i_mobile_hitz_232cg-2871.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-232cg.jpg;i-mobile Hitz 232CG;Released 2009, Q4;11.1mm thickness;Feature phone;microSDHC slot;6;N/A;70,580 hits;"2.0""";176x220 pixels; ;;1050 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2009, July. Released 2009, Q4;Discontinued;109.5 x 47.8 x 11.1 mm (4.31 x 1.88 x 0.44 in);-;Mini-SIM;TFT, 65K colors;2.0 inches, 12.6 cm(~24.1% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;;microSDHC (dedicated slot);CIF;No;No;No;Yes;No;FM radio;microUSB (charging and headset only);;MP3 playerOrganizerPredictive text input;Removable Li-Ion 1050 mAh battery;Up to 850 h;Up to 9 h;Black, Silver;;;Class 10;No;
https://www.gsmarena.com/i_mobile_tv_535-2680.php;https://fdn2.gsmarena.com/vv/bigpic/i-mobile-535.jpg;i-mobile TV 535;Released 2009, January;90g, 13.8mm thickness;Feature phone;microSD slot;9;N/A;101,902 hits;"2.2""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2009, January. Released 2009, January;Discontinued;108 x 48 x 13.8 mm (4.25 x 1.89 x 0.54 in);90 g (3.17 oz);Dual SIM (Mini-SIM);TFT, 256K colors;2.2 inches, 15.0 cm(~28.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);;;microSD (dedicated slot);1.3 MP;Yes;No;No;1.2, A2DP;No;"FM radio; built-in antenna";miniUSB;;TV tunerYamaha audio amplifierMP3 playerMP4/3GP playerOrganizerStop watchPrivate menuPredictive text input;Removable Li-Ion 1000 mAh battery;Up to 250 h;Up to 3 h;Black, Silver;;;Class 10;No;
