Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;chipset;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;displayother;displayprotection;os;cpu;gpu;memoryother;cam2features;featuresother;build;batstandby1;battalktime1;gprstext;edge;optionalother
https://www.gsmarena.com/plum_ram_10_lte-11345.php;https://fdn2.gsmarena.com/vv/bigpic/plum-ram10.jpg;Plum Ram 10 LTE;Released 2022, January 18;109g, 15.8mm thickness;Feature phone;128MB storage, microSDHC slot;0;0.2%;34,007 hits;"2.4""";240x320 pixels;48 MB RAM;Unisoc T107;1700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;2, 4, 5, 12, 13, 17, 26, 41, 66;HSPA 21.1/5.76 Mbps, LTE;2022, January 18;Available. Released 2022, January 18;133.4 x 64.4 x 15.8 mm (5.25 x 2.54 x 0.62 in);109 g (3.84 oz);Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.5m for 30 min)Flashlight;TFT LCD, 256K colors;2.4 inches, 17.8 cm(~20.8% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);Unisoc T107;microSDHC;128MB, 48MB RAM;2 MP;LED flash;Yes;1.3 MP;;No;Yes;No;No;FM radio, built-in antenna;microUSB 2.0;;Li-Ion 1700 mAh, removable;Black, Black/Orange;;;;;;;;;;;;;;
https://www.gsmarena.com/plum_ram_plus_lte-11346.php;https://fdn2.gsmarena.com/vv/bigpic/plum-ram-plus-.jpg;Plum Ram Plus LTE;Released 2022, February 02;108.4g, 22mm thickness;Feature phone;128MB storage, microSDHC slot;3;0.1%;23,627 hits;"2.4""";240x320 pixels;48 MB RAM;Unisoc T107;1200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;2, 4, 5, 12, 13, 17, 26, 41, 66;HSPA 21.1/5.76 Mbps, LTE;2022, February 02;Available. Released 2022, February 02;111.5 x 57.5 x 22 mm (4.39 x 2.26 x 0.87 in);108.4 g (3.81 oz);Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.5m for 30 min)Flashlight;TFT LCD, 256K colors;2.4 inches, 17.8 cm(~27.8% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);Unisoc T107;microSDHC;128MB, 48MB RAM;2 MP;LED flash;Yes;;;No;Yes;No;No;FM radio, built-in antenna;microUSB 2.0;;Li-Ion 1200 mAh, removable;Black, Black/Orange;External display: 1.44 inches, 128 x 128 pixels;;;;;;;;;;;;;
https://www.gsmarena.com/plum_flipper_lte-11347.php;https://fdn2.gsmarena.com/vv/bigpic/plum-flipper.jpg;Plum Flipper LTE;Released 2022, February 02;80g, 21.2mm thickness;Feature phone;128MB storage, microSDHC slot;4;0.1%;22,405 hits;"2.4""";240x320 pixels;64 MB RAM;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;2, 4, 5, 12, 17, 41, 66;HSPA 21.1/5.76 Mbps, LTE;2022, February 02;Available. Released 2022, February 02;103 x 53 x 21.2 mm (4.06 x 2.09 x 0.83 in);80 g (2.82 oz);Dual SIM (Nano-SIM, dual stand-by);;TFT LCD, 256K colors;2.4 inches, 17.8 cm(~32.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;microSDHC;128MB, 64MB RAM;0.3 MP;LED flash;Yes;;;No;Yes;No;No;FM radio, built-in antenna;microUSB 2.0;;Li-Ion 1000 mAh, removable;Black, Pink, Blue;External display: 1.77 inches, 128 x 160 pixels;;;;;;;;;;;;;
https://www.gsmarena.com/plum_gator_6-11132.php;https://fdn2.gsmarena.com/vv/bigpic/plum-gator-6.jpg;Plum Gator 6;Released 2020, March 01;225g, 14mm thickness;Android 10;16GB storage, microSDXC;1;0.1%;29,625 hits;"5.5""";720x1440 pixels;3 GB RAM;MT6580;4400 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;2, 4, 5, 7, 12, 17, 25, 26, 28, 41, 66;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/150 Mbps;2020, February 01;Available. Released 2020, March 01;152.2 x 75.5 x 14 mm (5.99 x 2.97 x 0.55 in);225 g (7.94 oz);Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.2m for 30 min)Drop-to-concrete resistance (up to 1.8m);IPS LCD;5.5 inches, 78.1 cm(~67.9% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~293 ppi density);Mediatek MT6580 (28 nm);microSDXC;16GB 3GB RAM;8 MP, AF;LED flash;720p@30fps;2 MP;480p@30fps;Wi-Fi 802.11 b/g/n;4.0, A2DP, LE;GPS;No;FM radio;microUSB 2.0, OTG;Accelerometer, proximity, compass;Li-Po 4400 mAh;Black, Yellow;;Corning Gorilla Glass 3;Android 10 (Go edition);Quad-core 1.3 GHz Cortex-A7;Mali-400 MP2;eMMC 5.1;;;;;;;;
https://www.gsmarena.com/plum_ram_9-11131.php;https://fdn2.gsmarena.com/vv/bigpic/plum-ram9.jpg;Plum Ram 9;Released 2020, April;109g, 15.8mm thickness;KaiOS 2.5;4GB 512MB RAM storage, microSDHC slot;1;N/A;22,433 hits;"2.4""";240x320 pixels; ;MT6572M;1700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40;HSPA 21.1/5.76 Mbps, LTE;2020, February 10;Available. Released 2020, April;133.4 x 64.4 x 15.8 mm (5.25 x 2.54 x 0.62 in);109 g (3.84 oz);Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.5m for 30 min)Flashlight;TFT LCD, 256K colors;2.4 inches, 17.8 cm(~20.8% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);Mediatek MT6572M;microSDHC;4GB 512MB RAM;5 MP;LED flash;480p;1.3 MP;;Wi-Fi 802.11 b/g/n;4.0;GPS;No;FM radio;microUSB 2.0;;Li-Ion 1700 mAh, removable;Black, Black/Orange;;;KaiOS 2.5;Dual-core;;;LED flash;Facebook, Whatsapp, Youtube, Google Assist;;;;;;
https://www.gsmarena.com/plum_gator_7-11076.php;https://fdn2.gsmarena.com/vv/bigpic/plum-gator7.jpg;Plum Gator 7;Released 2021, September 01;261g, 13.7mm thickness;Android 11;32GB storage, microSDXC;4;0.1%;32,981 hits;"5.7""";720x1440 pixels;3 GB RAM;MT6761V;5580 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;2, 4, 5, 7, 12, 17, 25, 26, 28, 41, 66;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 400/150 Mbps;2021, September 01;Available. Released 2021, September 01;157.5 x 78.1 x 13.7 mm (6.20 x 3.07 x 0.54 in);261 g (9.21 oz);Dual SIM (Nano-SIM, dual stand-by);IP69 dust/water resistant (up to 1.5m for 35 min)Drop-to-concrete resistance (up to 1.8m)MIL-STD-810H compliant;IPS LCD;5.7 inches, 83.8 cm(~68.2% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~282 ppi density);Mediatek MT6761V/WE (14 nm);microSDXC (dedicated slot);32GB 3GB RAM;8 MP, AF;LED flash, panorama;1080p@30fps;5 MP;720p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes (market/region dependent);FM radio;microUSB 2.0, OTG;Accelerometer, gyro, proximity, compass;Li-Po 5580 mAh, non-removable;Black, Orange;;Dragontrail Glass;Android 11;Quad-core 2.0 GHz Cortex-A53;PowerVR GE8300;eMMC 5.1;;;Glass front (Dragontrail Glass), plastic frame, plastic back;;;;;
https://www.gsmarena.com/plum_tag_2_3g-9503.php;https://fdn2.gsmarena.com/vv/bigpic/plum-tag2-3g.jpg;Plum Tag 2 3G;Released 2019, January;85g, 13.7mm thickness;Feature phone;512MB 256MB RAM storage, microSDHC slot;2;N/A;82,479 hits;"2.4""";240x320 pixels;256 MB RAM;Spreadtrum 7715A;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900;;Yes, 384 kbps;2019, January;Available. Released 2019, January;123 x 53 x 13.7 mm (4.84 x 2.09 x 0.54 in);85 g (3.00 oz);Dual SIM (Mini-SIM/Micro-SIM, dual stand-by);;TFT, 256K colors;2.4 inches, 17.8 cm(~27.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);Spreadtrum 7715A;microSDHC;512MB 256MB RAM;1.3 MP;;Yes;No;;No;2.0;No;No;FM Radio, built-in antenna;microUSB 2.0;;Li-Ion 800 mAh, removable;Red, Blue, Orange;;;;1.2 GHz Cortex-A7;Mali-400;;;;;Up to 240 h (2G) / Up to 200 h (3G);Up to 4 h 30 min (2G) / Up to 4 h 30 min (3G);;;
https://www.gsmarena.com/plum_phantom_2-9495.php;https://fdn2.gsmarena.com/vv/bigpic/plum-z621-phantom-2.jpg;Plum Phantom 2;Released 2019, January;195g, 10.4mm thickness;Android 8.0 Oreo;8GB storage, microSDHC;4;N/A;76,927 hits;"5.72""";480x960 pixels;1 GB RAM;MT6580A;2700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2018, December;Available. Released 2019, January;155.9 x 75.8 x 10.4 mm (6.14 x 2.98 x 0.41 in);195 g (6.88 oz);Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);;IPS LCD;5.72 inches, 84.4 cm(~71.5% screen-to-body ratio);480 x 960 pixels, 18:9 ratio (~188 ppi density);Mediatek MT6580A (28 nm);microSDHC;8GB 1GB RAM;8 MP;LED flash;1080p@30fps;5 MP;720p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2700 mAh, removable;Black, Gold;;;Android 8.0 Oreo (Go edition);Quad-core 1.3 GHz Cortex-A7;Mali-400;;;;;Up to 200 h (3G);Up to 5 h 30 min (3G);;;
https://www.gsmarena.com/plum_optimax_13-9494.php;https://fdn2.gsmarena.com/vv/bigpic/plum-optimax13.jpg;Plum Optimax 13;Released 2019, January;510g, 10.2mm thickness;Android 8.0 Oreo;8GB storage, microSDHC;1;N/A;57,311 hits;"10.1""";800x1280 pixels;1 GB RAM;Spreadtrum SC7731;4700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2018, December;Available. Released 2019, January;250.8 x 158.8 x 10.2 mm (9.87 x 6.25 x 0.40 in);510 g (1.12 lb);Dual SIM (Mini-SIM, dual stand-by);;IPS LCD;10.1 inches, 295.8 cm(~74.3% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~149 ppi density);Spreadtrum SC7731;microSDHC;8GB 1GB RAM;5 MP;LED flash;720p@30fps;2 MP;480p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 4700 mAh, non-removable;Black, White, Gold;;;Android 8.0 Oreo (Go edition);Quad-core 1.3 GHz Cortex-A7;Mali-400;;;;;Up to 72 h;Up to 3 h 30 min;;;
https://www.gsmarena.com/plum_flipper_2-9493.php;https://fdn2.gsmarena.com/vv/bigpic/plum-flipper-2.jpg;Plum Flipper 2;Released 2018, December;76g, 14.9mm thickness;Feature phone;32MB ROM storage, microSDHC slot;4;N/A;53,957 hits;"2.4""";240x320 pixels;32 MB RAM;MT6261D;750 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2018, December;Available. Released 2018, December;99.9 x 52 x 14.9 mm (3.93 x 2.05 x 0.59 in);76 g (2.68 oz);Dual SIM;Flashlight;TFT, 65K colors;2.4 inches, 17.8 cm(~34.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);Mediatek MT6261D;microSDHC;32MB ROM, 32MB RAM;1.3 MP;;Yes;No;;No;2.0;No;No;FM radio;microUSB 2.0;;Li-Ion 750 mAh, removable;Black, Red, Blue;;;;;;;;MP3/WAV/AAC playerPhoto/video editorDocument viewer;;Up to 150 h;Up to 4 h;Yes;No;
https://www.gsmarena.com/plum_ram_8-9398.php;https://fdn2.gsmarena.com/vv/bigpic/plum-ram8.jpg;Plum Ram 8;Released 2018, December;134g, 22mm thickness;Feature phone;128MB 64MB RAM storage, microSDHC slot;4;N/A;78,100 hits;"2.4""";240x320 pixels;64 MB RAM;MT6276A;1700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2018, December;Available. Released 2018, December;111.5 x 57.5 x 22 mm (4.39 x 2.26 x 0.87 in);134 g (4.73 oz);Dual SIM (Mini-SIM, dual stand-by);IP68 dust/water resistant (up to 1.5m for 30 min)Flashlight;TFT, 256K colors;2.4 inches, 17.8 cm(~27.8% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);Mediatek MT6276A;microSDHC;128MB 64MB RAM;5 MP;LEd flash;240p@15fps;;;No;3.0;No;No;"FM radio; built-in antenna";microUSB 2.0;;Li-Ion 1200 mAh, removable;Black, Black/Orange;;;;;No;;;MP4/H.264 playerMP3 playerPhoto editor;;Up to 120 h (3G);Up to 8 h (3G);;;
https://www.gsmarena.com/plum_gator_5-9377.php;https://fdn2.gsmarena.com/vv/bigpic/plum-gator-5.jpg;Plum Gator 5;Released 2018, November;210g, 12mm thickness;Android 8.1;16GB storage, microSDXC;3;N/A;59,556 hits;"5.2""";720x1280 pixels;2 GB RAM;MT6580;3700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2018, October;Available. Released 2018, November;148 x 76.3 x 12 mm (5.83 x 3.00 x 0.47 in);210 g (7.41 oz);Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.2m for 30 min)Drop-to-concrete resistance (up to 1.8m);IPS LCD;5.2 inches, 74.5 cm(~66.0% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~282 ppi density);Mediatek MT6580 (28 nm);microSDXC;16GB 2GB RAM;13 MP, AF;LED flash;720p@30fps;5 MP;480p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 3700 mAh, non-removable;Black, Orange;;Panda Glass;Android 8.1 (Oreo);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;;;;;Up to 528 h (3G);Up to 46 h (3G);;;
https://www.gsmarena.com/plum_tag_3g-9145.php;https://fdn2.gsmarena.com/vv/bigpic/plum-tag-3g.jpg;Plum Tag 3G;Released 2018, March;82g, 15mm thickness;Feature phone;128MB ROM storage, microSDHC slot;1;N/A;63,617 hits;"2.4""";240x320 pixels;64 MB RAM;Spreadtrum 7701B;800 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900;;Yes, 384 kbps;2018, March;Available. Released 2018, March;126.5 x 55 x 15 mm (4.98 x 2.17 x 0.59 in);82 g (2.89 oz);Dual SIM;Flashlight;TFT, 256K colors;2.4 inches, 17.8 cm(~25.6% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);Spreadtrum 7701B;microSDHC;128MB ROM, 64MB RAM;1.3 MP;;Yes;No;;No;2.1, EDR;No;No;FM radio;microUSB 2.0;;Li-Ion 800 mAh, removable;Black, Gold;;;;;;;;Audio playerDocument viewer;;Up to 120 h;Up to 4 h;;;
https://www.gsmarena.com/plum_optimax_11-9130.php;https://fdn2.gsmarena.com/vv/bigpic/plum-z811.jpg;Plum Optimax 11;Released 2018, April;330g, 10mm thickness;Android 6.0;16GB storage, microSDHC;0;N/A;58,925 hits;"8.0""";800x1280 pixels;1 GB RAM;Spreadtrum SC7731G;3500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 21.1/11 Mbps;2018, March;Available. Released 2018, April;208 x 123 x 10 mm (8.19 x 4.84 x 0.39 in);330 g (11.64 oz);Dual SIM (Mini-SIM, dual stand-by);;IPS LCD;8.0 inches, 185.6 cm(~72.5% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~189 ppi density);Spreadtrum SC7731G;microSDHC;16GB 1GB RAM;5 MP;LED flash;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;2.1;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 3500 mAh battery;Black, White, Gray, Gold, Rose Gold;;;Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A7;Mali-400;;;;;Up to 800 h;Up to 40 h;;;
https://www.gsmarena.com/plum_optimax_12-9129.php;https://fdn2.gsmarena.com/vv/bigpic/plum-z712.jpg;Plum Optimax 12;Released 2018, April;272g, 10.3mm thickness;Android 6.0;8GB storage, microSDHC;0;N/A;49,426 hits;"7.0""";600x1024 pixels;1 GB RAM;MT8321;2400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2018, March;Available. Released 2018, April;188 x 107.5 x 10.3 mm (7.40 x 4.23 x 0.41 in);272 g (9.59 oz);Dual SIM (Mini-SIM, dual stand-by);;TN TFT;7.0 inches, 137.9 cm(~68.2% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);Mediatek MT8321 (28 nm);microSDHC;8GB 1GB RAM;5 MP;LED flash;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2400 mAh battery;Black, Silver, Rose Gold;;;Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A7;Mali-400;;;;;Up to 132 h;Up to 3 h;;;
https://www.gsmarena.com/plum_optimax_2-9128.php;https://fdn2.gsmarena.com/vv/bigpic/plum-z702n.jpg;Plum Optimax 2;Released 2018, April;270g, 11.5mm thickness;Android 6.0;8GB storage, microSDHC;0;N/A;43,197 hits;"7.0""";600x1024 pixels;1 GB RAM;;2400 mAh Li-Ion;N/A;;;;2018, March;Available. Released 2018, April;192 x 109.7 x 11.5 mm (7.56 x 4.32 x 0.45 in);270 g (9.52 oz);No;;TN TFT;7.0 inches, 137.9 cm(~65.5% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~170 ppi density);;microSDHC;8GB 1GB RAM;5 MP;;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;2.1;No;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2400 mAh battery;Black, Silver, Pink, Gold, Rose Gold;;;Android 6.0 (Marshmallow);Quad-core 1.2 GHz Cortex-A7;Mali-400;;;;;Up to 170 h;Up to 12 h;No;No;
https://www.gsmarena.com/plum_compass_2-9127.php;https://fdn2.gsmarena.com/vv/bigpic/plum-z518.jpg;Plum Compass 2;Released 2018, March;165g, 9.8mm thickness;Android 6.0;8GB storage, microSDHC;0;N/A;46,872 hits;"5.0""";480x854 pixels;1 GB RAM;Spreadtrum SC7731C;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 14.4/5.76 Mbps;2018, March;Available. Released 2018, March;144 x 72.7 x 9.8 mm (5.67 x 2.86 x 0.39 in);165 g (5.82 oz);Dual SIM (Micro-SIM, dual stand-by);;TN TFT;5.0 inches, 68.9 cm(~65.8% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Spreadtrum SC7731C;microSDHC;8GB 1GB RAM;8 MP, AF;LED flash;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;2.1, EDR;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2000 mAh, removable;Black, Silver, Gold, Rose Gold;;;Android 6.0 (Marshmallow);Quad-core 1.2 GHz Cortex-A7;Mali-400;;;;;Up to 170 h (2G) / Up to 200 h (3G);Up to 5 h 30 min (2G) / Up to 5 h 30 min (3G);;;
https://www.gsmarena.com/plum_flipper_(2018)-9126.php;https://fdn2.gsmarena.com/vv/bigpic/plum-d105-2018.jpg;Plum Flipper (2018);Released 2018, March;96.2g, 17.8mm thickness;Feature phone;32MB ROM storage, microSDHC slot;1;N/A;63,211 hits;"2.4""";240x320 pixels;32 MB RAM;MT6261D;600 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;;;;2018, March;Available. Released 2018, March;104.2 x 50 x 17.8 mm (4.10 x 1.97 x 0.70 in);96.2 g (3.39 oz);Dual SIM;Flashlight;TFT, 65K colors;2.4 inches, 17.8 cm(~34.2% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);Mediatek MT6261D;microSDHC;32MB ROM, 32MB RAM;1.3 MP;;Yes;No;;No;3.0;No;No;FM radio;microUSB 2.0;;Li-Ion 600 mAh, removable;Black, Gold;;;;;;;;MP3/WAV playerPhoto viewer/editor;;Up to 200 h;Up to 4 h;Yes;No;
https://www.gsmarena.com/plum_axe_4-8969.php;https://fdn2.gsmarena.com/vv/bigpic/plum-axe-4.jpg;Plum Axe 4;Released 2018, January;107g, 9.9mm thickness;Android 6.0;8GB storage, microSDHC;2;N/A;54,719 hits;"4.0""";480x800 pixels;512 MB RAM;Spreadtrum SC7731C;1400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2017, December. Released 2018, January;Discontinued;124 x 64 x 9.9 mm (4.88 x 2.52 x 0.39 in);107 g (3.77 oz);Dual SIM (Micro-SIM, dual stand-by);;IPS LCD;4.0 inches, 45.5 cm(~57.4% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Spreadtrum SC7731C;microSDHC;8GB 512MB RAM;5 MP;LED flash;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 1400 mAh, removable;Black, Blue, Red, White;;;Android 6.0 (Marshmallow);Quad-core 1.2 GHz Cortex-A7;Mali-400;;;;;Up to 170 h (3G);Up to 8 h (3G);;;
https://www.gsmarena.com/plum_compass_lte-8968.php;https://fdn2.gsmarena.com/vv/bigpic/plum-compass-lte.jpg;Plum Compass LTE;Released 2018, January;146g, 9.3mm thickness;Android 7.0;8GB storage, microSDHC;0;N/A;48,036 hits;"5.0""";480x854 pixels;1 GB RAM;MT6737M;2100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;2, 4, 5, 7, 17;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2017, November. Released 2018, January;Discontinued;150 x 71.6 x 9.3 mm (5.91 x 2.82 x 0.37 in);146 g (5.15 oz);Dual SIM (Micro-SIM, dual stand-by);;TN TFT;5.0 inches, 68.9 cm(~64.1% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Mediatek MT6737M (28 nm);microSDHC;8GB 1GB RAM;8 MP;LED flash;720p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.1;Accelerometer;Li-Ion 2100 mAh, removable;Black, Gray, Gold, Rose gold, White;;;Android 7.0 (Nougat);Quad-core 1.3 GHz Cortex-A53;Mali-400;eMMC 5.0;;;;Up to 200 h (3G);Up to 5 h (3G);;;
https://www.gsmarena.com/plum_gator_4-8936.php;https://fdn2.gsmarena.com/vv/bigpic/plum-gator-4.jpg;Plum Gator 4;Released 2017, November;221.5g, 14mm thickness;Android 7.0;8GB storage, microSDXC;1;N/A;75,905 hits;"5.0""";720x1280 pixels;1 GB RAM;MT6580;5000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2017, October. Released 2017, November;Discontinued;146.6 x 75.9 x 14 mm (5.77 x 2.99 x 0.55 in);221.5 g (7.83 oz);Dual SIM;IP68 dust/water resistant (up to 1.5m for 30 min);IPS LCD;5.0 inches, 68.9 cm(~61.9% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Mediatek MT6580 (28 nm);microSDXC;8GB 1GB RAM;13 MP, AF;LED flash;720p@30fps;5 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 5000 mAh, non-removable;Black, Orange;;Corning Gorilla Glass (unspecified version);Android 7.0 (Nougat);Quad-core 1.3 GHz Cortex-A7z;Mali-400MP2;;;;;Up to 793 h (2G) / Up to 600 h (3G);Up to 44 h (2G) / Up to 25 h (3G);;;
https://www.gsmarena.com/plum_phantom-8882.php;https://fdn2.gsmarena.com/vv/bigpic/plum-z623.jpg;Plum Phantom;Released 2017, October;138g, 8.8mm thickness;Android 6.0;16GB storage, microSDXC;1;N/A;59,595 hits;"6.0""";720x1280 pixels;1 GB RAM;MT6580A;2500 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2017, September. Released 2017, October;Discontinued;165.5 x 84.2 x 8.8 mm (6.52 x 3.31 x 0.35 in);138 g (4.87 oz);Dual SIM (Micro-SIM, dual stand-by);;IPS LCD;6.0 inches, 99.2 cm(~71.2% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~245 ppi density);Mediatek MT6580A (28 nm);microSDXC;16GB 1GB RAM;13 MP;LED flash;720p@30fps;8 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.0, A2DP;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2500 mAh, removable;Gray, Gold, Rose Gold, White;;;Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;;;;;Up to 620 h (2G) / Up to 600 h (3G);Up to 25 h (2G) / Up to 10 h (3G);;;
